Question,Answer,,
"This thread is specifically created to discuss about the Tire Pressure Monitoring System (TPMS). For those who don't know about the TPMS, it is a small electronic device that monitors tyre pressure and temperature. The device constantly measures the air pressure inside the tyre and it alerts the driver about the low / high pressure or sudden deflation of tyres or high temperature. There are two types of TPMS: 1) Internal TPMS Internal systems use sensors that are strapped around the wheel or replace the valve stem and are inside the tire. 2) External TPMS External systems are those which have sensors that read from outside of the tire.","Major manufacturers across their model lines utilize various types of transmitters and receivers. However, the prominent ones primarily employ either 433 MHz (mainly German manufacturers) or 315 MHz (such as GM, Toyota, and others) transmitters and receivers.",,
"This thread is specifically created to discuss about the Tire Pressure Monitoring System (TPMS). For those who don't know about the TPMS, it is a small electronic device that monitors tyre pressure and temperature. The device constantly measures the air pressure inside the tyre and it alerts the driver about the low / high pressure or sudden deflation of tyres or high temperature. There are two types of TPMS: 1) Internal TPMS Internal systems use sensors that are strapped around the wheel or replace the valve stem and are inside the tire. 2) External TPMS External systems are those which have sensors that read from outside of the tire.","There are many good options, but I won't be able to recommend one that is best for the Pakistan market.",,
"This thread is specifically created to discuss about the Tire Pressure Monitoring System (TPMS). For those who don't know about the TPMS, it is a small electronic device that monitors tyre pressure and temperature. The device constantly measures the air pressure inside the tyre and it alerts the driver about the low / high pressure or sudden deflation of tyres or high temperature. There are two types of TPMS: 1) Internal TPMS Internal systems use sensors that are strapped around the wheel or replace the valve stem and are inside the tire. 2) External TPMS External systems are those which have sensors that read from outside of the tire.","Well, I ordered following from AliExpress from my Suzuki Swift, It has android app to be installed in Android Head Unit to display tyre pressure and status Let's shop together on AliExpress with new user coupons Your PKR 507 in coupons are here! https://a.aliexpress.com/_mPaREbV29  Using it from last 6 months. Working good so far.",,
"This thread is specifically created to discuss about the Tire Pressure Monitoring System (TPMS). For those who don't know about the TPMS, it is a small electronic device that monitors tyre pressure and temperature. The device constantly measures the air pressure inside the tyre and it alerts the driver about the low / high pressure or sudden deflation of tyres or high temperature. There are two types of TPMS: 1) Internal TPMS Internal systems use sensors that are strapped around the wheel or replace the valve stem and are inside the tire. 2) External TPMS External systems are those which have sensors that read from outside of the tire.",There was no custom tax charged. The amount when I placed the order was approximately 6500 PKR.,,
"This thread is specifically created to discuss about the Tire Pressure Monitoring System (TPMS). For those who don't know about the TPMS, it is a small electronic device that monitors tyre pressure and temperature. The device constantly measures the air pressure inside the tyre and it alerts the driver about the low / high pressure or sudden deflation of tyres or high temperature. There are two types of TPMS: 1) Internal TPMS Internal systems use sensors that are strapped around the wheel or replace the valve stem and are inside the tire. 2) External TPMS External systems are those which have sensors that read from outside of the tire.","It depends on the item you ordered. Custom have list of item codes in which they will charge custom. I ordered keyboard for laptop. It was $10 and I paid 100 rs custom. I ordered torque wrench having price $50 and it was around 2 KG in weight, but no custom was charged. So it depends on item. Usually electronic items are subject to custom",,
"This thread is specifically created to discuss about the Tire Pressure Monitoring System (TPMS). For those who don't know about the TPMS, it is a small electronic device that monitors tyre pressure and temperature. The device constantly measures the air pressure inside the tyre and it alerts the driver about the low / high pressure or sudden deflation of tyres or high temperature. There are two types of TPMS: 1) Internal TPMS Internal systems use sensors that are strapped around the wheel or replace the valve stem and are inside the tire. 2) External TPMS External systems are those which have sensors that read from outside of the tire.","Visit any tyre shop, he will remove the tyre from rim, change the nozzles with provided one in TPMS . Install back the tyre on rim and that's it",,
"Hi I have black santro 07 model. The ring work has been done new, new sensor, new map sensor new wiring but still black smoke present. Anyone tell me what need to be address there? Is anything remaining?",Radiator fan is auto or direct? Does the car got original ecu?,,
"Hi I have black santro 07 model. The ring work has been done new, new sensor, new map sensor new wiring but still black smoke present. Anyone tell me what need to be address there? Is anything remaining?",Got it scanned? The tp sensor must not be calibrated properly or placed properly. That gives black smoke.,,
"Hey everyone, I have a Passo 2010 that I am looking to get completely repainted. Due to the previous owners carelessness most of the clear coat on the car has faded in different places and the footboards have also begun to rust. I am getting it painted and have come to an agreement with a painter nearby in Johar (Karachi) for 45k for the complete denting and repainting of the car. Now I have no clue how the painters and denters here skimp out on work so I am looking for any pointers I should be looking for when they are doing the body work and paint job, any precautions and tips would be appreciated. I will post pictures of the car by tonight. I have done professional detailing, and still do it for friends and family when needed so I do have a good idea of what a good paint job looks like and I am familiar with the process of painting a car i.e body work, filling, sanding, primer, sanding, base coat, clear coat, wet sanding, compounding, polishing, no wax for a couple of weeks. The color of the car is pearl beige, almost the color of sand. The paint I have agreed upon is Nexa for base and clear. I will be going with the painter to fetch the paint. Any other brands recommended, are there fake paint products in the market? Appreciate any input!","Take this with a grain of salt as nowadays people are complaining that Im blunt/rude etc. - but I have painted/refinished cars myself there are tons of cheap and fake stuff available which can bite you. This is why you need to find a good supplier. Secondly the air compressor you are using should be large enough to not short cycle constantly and you should have a very good moisture separator so you are not shooting water with the paint. The paint gun should be learned so the amount of spray can be dialed to the person handling the gun. A cheap gun results in bad finish. Use correct techniques to prep the paint including pepper coating to see the high and low sanding areas. Spraying it is also an issue as its easy to shoot dry spray which will result in a dead finish. Buy some mixing cups with measurements and ratios printed on the side of it and follow the manufacturer specs of the clear coat and its catalyser to get the correct ratio - do not try to ""andaaza"" it - it never works. (been there done that) - 3 wet coats of standox 2K clear will give you a very good finish provided you have sprayed the base correctly and evenly with a 30% overlap. Tape/disconnect/remove anything you can to get a clean/crisp finish everywhere. lastly - be safe, painting a car is hazardous to your health and can kill you so buy a respirator. Do not try to be He-man and commando the job with andaaza and no calculations or no safety. If you or your painter dont care then you might as well burn your money in a pile.",,
"Hey everyone, I have a Passo 2010 that I am looking to get completely repainted. Due to the previous owners carelessness most of the clear coat on the car has faded in different places and the footboards have also begun to rust. I am getting it painted and have come to an agreement with a painter nearby in Johar (Karachi) for 45k for the complete denting and repainting of the car. Now I have no clue how the painters and denters here skimp out on work so I am looking for any pointers I should be looking for when they are doing the body work and paint job, any precautions and tips would be appreciated. I will post pictures of the car by tonight. I have done professional detailing, and still do it for friends and family when needed so I do have a good idea of what a good paint job looks like and I am familiar with the process of painting a car i.e body work, filling, sanding, primer, sanding, base coat, clear coat, wet sanding, compounding, polishing, no wax for a couple of weeks. The color of the car is pearl beige, almost the color of sand. The paint I have agreed upon is Nexa for base and clear. I will be going with the painter to fetch the paint. Any other brands recommended, are there fake paint products in the market? Appreciate any input!",thinner? you mean the catalyzer? because reducing the clear with a thinner will require a completely different spray technique and can cause a lot of runs if your compressor doesnt have enough volume to keep going.,,
"Hey everyone, I have a Passo 2010 that I am looking to get completely repainted. Due to the previous owners carelessness most of the clear coat on the car has faded in different places and the footboards have also begun to rust. I am getting it painted and have come to an agreement with a painter nearby in Johar (Karachi) for 45k for the complete denting and repainting of the car. Now I have no clue how the painters and denters here skimp out on work so I am looking for any pointers I should be looking for when they are doing the body work and paint job, any precautions and tips would be appreciated. I will post pictures of the car by tonight. I have done professional detailing, and still do it for friends and family when needed so I do have a good idea of what a good paint job looks like and I am familiar with the process of painting a car i.e body work, filling, sanding, primer, sanding, base coat, clear coat, wet sanding, compounding, polishing, no wax for a couple of weeks. The color of the car is pearl beige, almost the color of sand. The paint I have agreed upon is Nexa for base and clear. I will be going with the painter to fetch the paint. Any other brands recommended, are there fake paint products in the market? Appreciate any input!","For the top coat and clearcoat, use acrylic thinner (nippon, master, equivalent etc), and not open container thinner. You will need 2 litres of it (max.). Its going to aid you in the final glass-like finish.",,
"I have been doing a little digging on the interwebs - a couple forums caught my site My Analysis of the Use of Low Zinc (zddp) Oil in C4 Corvettes8 <------------apparently this guy has access to academic research papers. Links to said papers are in the thread. GM debunks ZDDP myths for flat tappet cams11 <---------BITOG members' opinions I have just quickly skimmed through these posts - I will do a detailed reading later on. In the mean time, other members are welcome to read through them and give their opinions. There have been documented incidences of valvetrain failures on flat tappet engines, but they seem to involve hot rods, old school muscle cars, or stock cars used in racing applications. I will post some links later. Any members here with valvetrain failures using SM/SN oil in stock flat tappet engines? Please share your experiences.","the zinc content reduction was solely done for purpose of not killing the ""kitty cat"" in the exhaust, this created many issues and along the way many manufacturers went to roller assembly like rockers - e.g. GM flat tappet engines are ancient now, even in the old API SG days, most american engines had hydraulic lifters in OHV engines (infact being lazy - they (GM) kept on using the damn things). As engine tech goes further - development in the gasoline engine arena has taken a few leaps n bounds - almost all engines now employ either bucket over valve, roller rocker (inverted or straight doesnt matter) - smaller high pressure bearing surfaces etc. (Pakistan is still using 40 or even 50 year old engine technology) such old school oils while they are easy to buy in Pakistan and are cheaper - they are incredibly hard to find in other countries due to being obsolete and also to somewhat protect the interests of the manufacturer (idiot car owners will pour it in and wonder why the eff their cats are dead in half the time - while the federal warranty of a cat converter in a brand new car in USA is 7 years). as ahsanzs said - a cheap econo engine is pretty worthless if it takes a Rs 20,000/- oil change. So why challenge the situation. I personally think that if you operate the machinery under control specification and dont find an issue with longevity or performance then leave it alone. Only go about looking for other solutions when your control specification is either bad or cannot be implemented any longer (e.g. oils not available)",,
"I have been doing a little digging on the interwebs - a couple forums caught my site My Analysis of the Use of Low Zinc (zddp) Oil in C4 Corvettes8 <------------apparently this guy has access to academic research papers. Links to said papers are in the thread. GM debunks ZDDP myths for flat tappet cams11 <---------BITOG members' opinions I have just quickly skimmed through these posts - I will do a detailed reading later on. In the mean time, other members are welcome to read through them and give their opinions. There have been documented incidences of valvetrain failures on flat tappet engines, but they seem to involve hot rods, old school muscle cars, or stock cars used in racing applications. I will post some links later. Any members here with valvetrain failures using SM/SN oil in stock flat tappet engines? Please share your experiences.","the problem what suzuki created is that they simply slapped a cat converter onto a poor engine which already was quite dirty exhaust - adding EFI does not magically clean the exhaust out if your cylinder head design is incredibly poor. Its cam is not aggressive but does have flat tappets non the less and strong valve springs too. It does face the brute forces of the valve train due to which such oils were blended. Cat converters have been employed even in engines specifying API SJ oils and some even SH (infact havoline motor oil when first launched in Pakistan had that written proudly that it is perfectly suited for cars with cat converters - which half the population of Pakistan did not know what it was despite being in all the darling EE-80, EE 90 corollas with 2E-LU engines.. Everyone promptly filled with PSO 30/40 tin and called it a day - misrouted vacuum hoses, misfires which cooked the cat and slowly the engines died a strange death (some including fires)",,
"I have been doing a little digging on the interwebs - a couple forums caught my site My Analysis of the Use of Low Zinc (zddp) Oil in C4 Corvettes8 <------------apparently this guy has access to academic research papers. Links to said papers are in the thread. GM debunks ZDDP myths for flat tappet cams11 <---------BITOG members' opinions I have just quickly skimmed through these posts - I will do a detailed reading later on. In the mean time, other members are welcome to read through them and give their opinions. There have been documented incidences of valvetrain failures on flat tappet engines, but they seem to involve hot rods, old school muscle cars, or stock cars used in racing applications. I will post some links later. Any members here with valvetrain failures using SM/SN oil in stock flat tappet engines? Please share your experiences.","ayan_cdkey;4768717: Challenge?? Definitely not! Mere observations I have. Well baleno was in production till 2005, so the manual is pretty outdated. If baleno had been under production now then definitely it would have had api sm or sn as requirement in the book. Cultus efi has the same technology and I never found the api requirements on the book. Probably the latest and best api grade should be used. People add zddp packs to api sn oils because they have been using muscle cars or classic engines. I am sure our flat tappet suzukis dont undergo that much strain or pressure. So api sm and sn should be fine. Above all, u can see that delo is also now api sL. In a matter of time, they will be available in api sn too. So the outdated api grades such as sL, sj or sg will be off the shelves soon, toh suzuki owners will inevitably have to shift to api sn or sm Please check your placement on the map - I beleive its Pakistan. there are no safety or emmissions mandates in that country - meaning there is no one to check exhaust emmissions or even vehicular safety. the reason to remove such high pressure additives was to save the cat converter from dying early, As it created another host of problems, most (sensible) manufacturers employed different technologies to remove the high pressure areas in their engines (roller cams, bucket/shim/hydraulic/solid tappets etc) - Pakistan has no mandate to have a cat converter - infact this very forum has a ton of threads of people advising to remove the cat because it affects ""parfarminss"" of their econocar. your beloved cultus efi has the same old ancient ""buzurg"" G series suzi 4 cyl engine that we have been seeing since we were roaming around in shorts, it still uses a soft cam and silly rockers with a pretty silly breathing setup aka, choked design - meaning rev more. Be assured that ancient API - SC, SE, SG, SH, SL - CH4, CI and CJ oils are not going anywhere from shelves in Pakistan, the insane numbers of Honda CD70E and CG125E and ancient mazda and bedford diesel engines in Pakistan will fail catastrophically in short time. Your cars are the drop in the bucket (those motorcycles and the trucks are entire water the bucket) - please add the first paragraph to this mix and you will know why it would be ""a huge loss"" to remove such oils from the shelves.",,
"I have been doing a little digging on the interwebs - a couple forums caught my site My Analysis of the Use of Low Zinc (zddp) Oil in C4 Corvettes8 <------------apparently this guy has access to academic research papers. Links to said papers are in the thread. GM debunks ZDDP myths for flat tappet cams11 <---------BITOG members' opinions I have just quickly skimmed through these posts - I will do a detailed reading later on. In the mean time, other members are welcome to read through them and give their opinions. There have been documented incidences of valvetrain failures on flat tappet engines, but they seem to involve hot rods, old school muscle cars, or stock cars used in racing applications. I will post some links later. Any members here with valvetrain failures using SM/SN oil in stock flat tappet engines? Please share your experiences.",in my opinion such problem can be tackled by using extra virgin olive oil with new oil filter after flushing the engine. please offer insight @xulfiqar @syncview @rustam54 @afnan.bashir @argtr65 @ser_gtr @margallar,,
"I have been doing a little digging on the interwebs - a couple forums caught my site My Analysis of the Use of Low Zinc (zddp) Oil in C4 Corvettes8 <------------apparently this guy has access to academic research papers. Links to said papers are in the thread. GM debunks ZDDP myths for flat tappet cams11 <---------BITOG members' opinions I have just quickly skimmed through these posts - I will do a detailed reading later on. In the mean time, other members are welcome to read through them and give their opinions. There have been documented incidences of valvetrain failures on flat tappet engines, but they seem to involve hot rods, old school muscle cars, or stock cars used in racing applications. I will post some links later. Any members here with valvetrain failures using SM/SN oil in stock flat tappet engines? Please share your experiences.","for the ones saying that sg grade oils don't clean, use a hdeo like delo, i used it and i see a noticeable cleaning under valve cover. though i have a weham that when shifting to a fleet oil, you should change it early for the first time.",,
"I have been doing a little digging on the interwebs - a couple forums caught my site My Analysis of the Use of Low Zinc (zddp) Oil in C4 Corvettes8 <------------apparently this guy has access to academic research papers. Links to said papers are in the thread. GM debunks ZDDP myths for flat tappet cams11 <---------BITOG members' opinions I have just quickly skimmed through these posts - I will do a detailed reading later on. In the mean time, other members are welcome to read through them and give their opinions. There have been documented incidences of valvetrain failures on flat tappet engines, but they seem to involve hot rods, old school muscle cars, or stock cars used in racing applications. I will post some links later. Any members here with valvetrain failures using SM/SN oil in stock flat tappet engines? Please share your experiences.","ahmedraja1996;4766729: Mehran was the only car i had with flat tappets, i didn't knew much about ZDDP but these engines were designed when SF SG oils were available. nowdays finding SE SF SG ain't easy. And test was done on cars having same mileage same year but different oils. Car A was tested on 20W50 SG and Car B was on 10W40 SN. Car B had extremely clean engine compared to Car A when both cars clocked 50K km. Car B had better fuel consumption and cam was neat. Drain interval was different, Car A had 2.5K OCI and Car B had 3.5K OCI. Atm Car B is driven 170k and Car A is 150k but Car A needs valves, reducing qt after 1k. Car B till now has no issues. Its my own experience i don't take responsibility for anyone else's car engine problems. since suzuki still makes mehran, it also makes oil for it, which is 10w40 sgo premium. for those who say newer is better, please explain why suzuki would want api sg 10w40 while they also have 10w40 in sm grade (sgo ultimate)",,
"I have been doing a little digging on the interwebs - a couple forums caught my site My Analysis of the Use of Low Zinc (zddp) Oil in C4 Corvettes8 <------------apparently this guy has access to academic research papers. Links to said papers are in the thread. GM debunks ZDDP myths for flat tappet cams11 <---------BITOG members' opinions I have just quickly skimmed through these posts - I will do a detailed reading later on. In the mean time, other members are welcome to read through them and give their opinions. There have been documented incidences of valvetrain failures on flat tappet engines, but they seem to involve hot rods, old school muscle cars, or stock cars used in racing applications. I will post some links later. Any members here with valvetrain failures using SM/SN oil in stock flat tappet engines? Please share your experiences.","ahmedraja1996;4767420: Bro suzuki doesn't make any oil it is made by total and filled in suzuki bottle's. Here in Pakistan mostly dealerships use outdated oils, like toyota still uses petron 20W50 and honda mostly uses 10W30 but they have 5W30 too. And i never said newer is better but i experimented it and found it comparatively better. i didn't mean it literally, but let me rephrase it, why would suzuki ask total to make api sg?",,
"Hello, Brothers. I have a Nissan car from 1990 and I'm interested in installing a new EFI (Electronic Fuel Injection) engine in it. I would like to seek your advice regarding which engine I should choose. Should I go for the Toyota 16 valve EFI engine from 1995 or the Nissan 16 valve Twin Cam EFI engine? I would like to know which engine would provide better power, speed, reliability, fuel consumption, and other related aspects. Thank you for your assistance. Solution189","look in the electrics thread - there are a few members with very successful nissan swaps, and nissan engines have the life span of a hammer. They are very robust and powerful too. To top it - a nissan engine will fit bolt on to your car, why opt for a toyota engine in which you need to do stupid alterations.",,
"Hello, Brothers. I have a Nissan car from 1990 and I'm interested in installing a new EFI (Electronic Fuel Injection) engine in it. I would like to seek your advice regarding which engine I should choose. Should I go for the Toyota 16 valve EFI engine from 1995 or the Nissan 16 valve Twin Cam EFI engine? I would like to know which engine would provide better power, speed, reliability, fuel consumption, and other related aspects. Thank you for your assistance. Solution189","curveeditor;4910760: اَلسَّــلاَمُ عَلَيــكُـم I have installed Nissan Twin cam 1.6. Now i m facing a problem with its fuel pump. I changed it three times. after some days its goes loss its pressure. what i do ??? and please suggest me any good mechanic for its engine in Rawalpindi or Islamabad. بہت شکریہ ۔۔ walaikum salam, has anyone done any diagnosis testing on it or are you trying to shoot parts at the car so it fixes itself? check the voltage at the pump, low voltage will lead to higher amp pull which can kill the pump, check the fuel pressure regulator for faulty operation. how old is the fuel filter if this is a swapped engine, was the fuel supply line changed to a larger diameter one? Are you installing used/scrapped fuel pumps? an injector balance test is also recommended but it would be very alien for the average old mechanic in Pakistan.",,
"Hello, Brothers. I have a Nissan car from 1990 and I'm interested in installing a new EFI (Electronic Fuel Injection) engine in it. I would like to seek your advice regarding which engine I should choose. Should I go for the Toyota 16 valve EFI engine from 1995 or the Nissan 16 valve Twin Cam EFI engine? I would like to know which engine would provide better power, speed, reliability, fuel consumption, and other related aspects. Thank you for your assistance. Solution189",GA15DE.....Easy Find...Rock Solid......!! Same Or Better Than 5AFE Just Make Sure To Bleed Their Water System Nicely And Make It Free Of Air...Else You Can End Up Complaining About Heat up Issues...!! I Have Ga15DS Swapped And Its Running Flawlessly....!!,,
"Hello, Brothers. I have a Nissan car from 1990 and I'm interested in installing a new EFI (Electronic Fuel Injection) engine in it. I would like to seek your advice regarding which engine I should choose. Should I go for the Toyota 16 valve EFI engine from 1995 or the Nissan 16 valve Twin Cam EFI engine? I would like to know which engine would provide better power, speed, reliability, fuel consumption, and other related aspects. Thank you for your assistance. Solution189",Nissan Twin Cam engines are very good. Only get Nissan engine in your Nissan car.,,
"Hello, Brothers. I have a Nissan car from 1990 and I'm interested in installing a new EFI (Electronic Fuel Injection) engine in it. I would like to seek your advice regarding which engine I should choose. Should I go for the Toyota 16 valve EFI engine from 1995 or the Nissan 16 valve Twin Cam EFI engine? I would like to know which engine would provide better power, speed, reliability, fuel consumption, and other related aspects. Thank you for your assistance. Solution189","Hey, I have swapped a Nissan GA16 engine into my B14 Sunny. Xulfiqar bhai mentioned that these engines are reliable, and yes, he's right. Both engines are equally powerful, but Toyota has better aftermarket support. So, my suggestion is to go for Nissan.",,
"Hello, Brothers. I have a Nissan car from 1990 and I'm interested in installing a new EFI (Electronic Fuel Injection) engine in it. I would like to seek your advice regarding which engine I should choose. Should I go for the Toyota 16 valve EFI engine from 1995 or the Nissan 16 valve Twin Cam EFI engine? I would like to know which engine would provide better power, speed, reliability, fuel consumption, and other related aspects. Thank you for your assistance. Solution189",Please help me locate the Nissan GA16DE twin cam engine.,,
"Finally after searching for more than two months i have finally come across a Honda City Neo that has most of it's interior and a powerful engine... Good Things: Its Interior and Engine and Suspensions, Almost has all the panels, switches, even side mirrors still working.. Bad things: The Dirt, the Mess, The panel work, No Lights working, Needs a paint job, Needs new tyres, Rims and bla bla bla",justr one suggestion if possible please take one closeup shot and one form a distance in some pictures i am not able to figure out which section of car is under focus.,,
"Finally after searching for more than two months i have finally come across a Honda City Neo that has most of it's interior and a powerful engine... Good Things: Its Interior and Engine and Suspensions, Almost has all the panels, switches, even side mirrors still working.. Bad things: The Dirt, the Mess, The panel work, No Lights working, Needs a paint job, Needs new tyres, Rims and bla bla bla",That's one beautiful car you've got there. Probably the only Honda City which looks good and performs equally well. The 1.5L engine never disappoints. Will you be restoring it or modifying it as well?,,
"Finally after searching for more than two months i have finally come across a Honda City Neo that has most of it's interior and a powerful engine... Good Things: Its Interior and Engine and Suspensions, Almost has all the panels, switches, even side mirrors still working.. Bad things: The Dirt, the Mess, The panel work, No Lights working, Needs a paint job, Needs new tyres, Rims and bla bla bla",For all parts - including stickers - the best place is Honda House. The guy owns a couple of Hondas as well and will guide you in economizing your process without hurting the quality.,,
"Finally after searching for more than two months i have finally come across a Honda City Neo that has most of it's interior and a powerful engine... Good Things: Its Interior and Engine and Suspensions, Almost has all the panels, switches, even side mirrors still working.. Bad things: The Dirt, the Mess, The panel work, No Lights working, Needs a paint job, Needs new tyres, Rims and bla bla bla","The location mentioned is Montgomery Road, and the contact person's name is Ijaz with the phone number 0321-4218545.",,
"Finally after searching for more than two months i have finally come across a Honda City Neo that has most of it's interior and a powerful engine... Good Things: Its Interior and Engine and Suspensions, Almost has all the panels, switches, even side mirrors still working.. Bad things: The Dirt, the Mess, The panel work, No Lights working, Needs a paint job, Needs new tyres, Rims and bla bla bla","kazmi_muzammil;2682534: Ok sure, ill let you know. I was looking to purchase the whole trunk in exchange with my car's trunk..i guess they would charge me a nominal fee for that...Anyways ill surely let you know... @Bango: thanks mate for your help... For trunk and second hand stuff, you can contact Kashif @ 0300-4156497. He has a shop in Bilal Ganj and deals in Honda parts mostly. You'll find a lot of cool JDM stuff with him. You may find a trunk as well. If he doesn't have anything, he tries arranging it.",,
I NEED SUGGESTIONS FROM FELLOW PAKWHEELERS ABOUT BEST AVAILABLE TRACKING SYSTEM FOR CARS IN PAKISTAN.PLEASE PROVIDE THEIR WEB ADDRESSES AND CONTACT NUMBERS. THANKS.  Please avoid typing in caps as it means you're shouting - MOD- Moved to general auto talks,@zeejigs as i've heard anything that will damage the tracker will also trigger an alarm. @sanamotors no idea about the best company,,
I NEED SUGGESTIONS FROM FELLOW PAKWHEELERS ABOUT BEST AVAILABLE TRACKING SYSTEM FOR CARS IN PAKISTAN.PLEASE PROVIDE THEIR WEB ADDRESSES AND CONTACT NUMBERS. THANKS.  Please avoid typing in caps as it means you're shouting - MOD- Moved to general auto talks,sorry brother i cant help you on this one .. but can u plz tell me where ur sanamotors is located in slkt .. and what kind of cars you have there .. ??,,
I NEED SUGGESTIONS FROM FELLOW PAKWHEELERS ABOUT BEST AVAILABLE TRACKING SYSTEM FOR CARS IN PAKISTAN.PLEASE PROVIDE THEIR WEB ADDRESSES AND CONTACT NUMBERS. THANKS.  Please avoid typing in caps as it means you're shouting - MOD- Moved to general auto talks,yar i hav heard tat the theives give 220v current to the car and by this the tracker system gets fire or refuses to work????is it true or chuss??,,
I NEED SUGGESTIONS FROM FELLOW PAKWHEELERS ABOUT BEST AVAILABLE TRACKING SYSTEM FOR CARS IN PAKISTAN.PLEASE PROVIDE THEIR WEB ADDRESSES AND CONTACT NUMBERS. THANKS.  Please avoid typing in caps as it means you're shouting - MOD- Moved to general auto talks,best is no doubt C-Track...TRAKKER....,,
I NEED SUGGESTIONS FROM FELLOW PAKWHEELERS ABOUT BEST AVAILABLE TRACKING SYSTEM FOR CARS IN PAKISTAN.PLEASE PROVIDE THEIR WEB ADDRESSES AND CONTACT NUMBERS. THANKS.  Please avoid typing in caps as it means you're shouting - MOD- Moved to general auto talks,Please give some details of that C TRACK system And what would be its total installation and yearly membership cost.,,
"Can anyone who is familiar with tools and ratchets, and general car maintaince stuff tell me what brand I should go for that is easily available in Pakistan. Which brands have good quality socket sets or what should I look before buying one.","Snap on tooling is not for diy level at all, just one socket goes for about 30 dollars a piece. A spanner set gets upto 500 dollars. Elora is a good brand and is available but their ratchets are garbage because they have thicker teeth count, you can look for koken and nikki tools, some sellers have ancient old stock for sale. A tool should be chunky and heavy and should not flex if its correctly hardened. (Chrome sockets), black impact grade sockets are softer.",,
"Can anyone who is familiar with tools and ratchets, and general car maintaince stuff tell me what brand I should go for that is easily available in Pakistan. Which brands have good quality socket sets or what should I look before buying one.","What was the price of the 3/8 torque wrench? And can you specify the model type? Is it a split beam, clicker, Torqometer, or digital?",,
"Can anyone who is familiar with tools and ratchets, and general car maintaince stuff tell me what brand I should go for that is easily available in Pakistan. Which brands have good quality socket sets or what should I look before buying one.","Go to market and find a big toolshop, ask them for taiwanese tools, they will show you some, check that the sockets have rounded milling at thr hex corners as that wont chew the nut and bolt face, also buy 6 sided stuff as it can take a better beating compared to 12 sided. You should have some 12 sided stuff too for some specific conditions like oldschool honda flywheel bolts. Good luck. Some brands I remember in pk were tony or king dick, one brand I forgot its name was actually from Czech republic, they looked very rough and thick but were incredibly durable and very heavy, you attach a 1/2 ratchet to it and your pinky could undo the bolts. My favorite werr elora and gedore/hazet but they were pricey.",,
"Can anyone who is familiar with tools and ratchets, and general car maintaince stuff tell me what brand I should go for that is easily available in Pakistan. Which brands have good quality socket sets or what should I look before buying one.","Oh these They are acceptable quality as beginner toolset, their ratchets are weak though. And make sure to get the 6 point sockets. They were available here for a small timeframe and were best as gifts or keep a set in a car for emergencies.",,
"Can anyone who is familiar with tools and ratchets, and general car maintaince stuff tell me what brand I should go for that is easily available in Pakistan. Which brands have good quality socket sets or what should I look before buying one.",Every brand is available in market. Look at the quality as some local sockets are better then chinese branded ones. Go to the market and compare yourself. Ingco brand is new in market but highly overpriced.,,
"Can anyone who is familiar with tools and ratchets, and general car maintaince stuff tell me what brand I should go for that is easily available in Pakistan. Which brands have good quality socket sets or what should I look before buying one.","Quality can be easily distinguish. Cheap sockets will have rough edges and will not be tight fit on nut/bolt, same with screw drivers while ratchets will feel loose and the clicking noise would be different. This can be my opinion only. When you start using tools you will differentiate them easily.",,
"Salamz Pakwheelers, Can anyone please help me to get Navigation SD Card For Civic 2010 In Dash Player. Just bought a used 2010 civic but just noticed that Navigation Sd Card is missing. Any help would be highly appreciated. @rizwan400 Willing to pay if anyone willing to sell a working sd card on some affordable price. Thanks in advance.","mnaveedayub;5235596: Salamz Pakwheelers, Can anyone please help me to get Navigation SD Card For Civic 2010 In Dash Player. Just bought a used 2010 civic but just noticed that Navigation Sd Card is missing. Any help would be highly appreciated. @rizwan400 Willing to pay if anyone willing to sell a working sd card on some affordable price. Thanks in advance. Check PM",,
"Salamz Pakwheelers, Can anyone please help me to get Navigation SD Card For Civic 2010 In Dash Player. Just bought a used 2010 civic but just noticed that Navigation Sd Card is missing. Any help would be highly appreciated. @rizwan400 Willing to pay if anyone willing to sell a working sd card on some affordable price. Thanks in advance.",just pay tracking world if you really need maps,,
"Salamz Pakwheelers, Can anyone please help me to get Navigation SD Card For Civic 2010 In Dash Player. Just bought a used 2010 civic but just noticed that Navigation Sd Card is missing. Any help would be highly appreciated. @rizwan400 Willing to pay if anyone willing to sell a working sd card on some affordable price. Thanks in advance.",Can anyone update in this regard? Is there a way to get maps for free? I have civic 2010.,,
"Salamz Pakwheelers, Can anyone please help me to get Navigation SD Card For Civic 2010 In Dash Player. Just bought a used 2010 civic but just noticed that Navigation Sd Card is missing. Any help would be highly appreciated. @rizwan400 Willing to pay if anyone willing to sell a working sd card on some affordable price. Thanks in advance.","Salam Pakwheelers, -  - Can anyone please help me find a Navigation SD Card for a Civic 2010 In Dash Player? I recently purchased a used 2010 Civic but noticed that the Navigation SD Card is missing. Any help would be greatly appreciated. @rizwan400, I am willing to pay if anyone is willing to sell a working SD card at an affordable price. Thank you in advance. -  - Dear Naveed, Japanese cars that have a built-in navigation system usually come with a map DVD, but that map would be of Japan, which is not useful in Pakistan. You haven't mentioned clearly what the problem is. Is the system not playing any audio CDs as well? If other audio CDs are also not playing, then the system needs to be booted using a boot CD, but it is necessary to know the model number of your system for that. Please post the model number of your system, and if you need a boot CD, it can be provided. The navigation DVD won't be of any use to you because the map will be for Japan.",,
